VIN,TRANSACTION_ID,CORRECTION_VERBATIM,CUSTOMER_VERBATIM,REPAIR_DATE,CAUSAL_PART_NM,GLOBAL_LABOR_CODE_DESCRIPTION,PLATFORM,BODY_STYLE,VPPC,PLANT,BUILD_COUNTRY,LAST_KNOWN_DLR_NAME,LAST_KNOWN_DLR_CITY,REPAIRING_DEALER_CODE,DEALER_NAME,REPAIR_DLR_CITY,STATE,DEALER_REGION,REPAIR_DLR_POSTAL_CD,REPAIR_AGE,KM,COMPLAINT_CD_CSI,COMPLAINT_CD,VEH_TEST_GRP,COUNTRY_SALE_ISO,ORD_SELLING_SRC_CD,OPTN_FAMLY_CERTIFICATION,OPTF_FAMLY_EMISSIOF_SYSTEM,GLOBAL_LABOR_CODE,TRANSACTION_CATEGORY,REPORTING_COST,TOTALCOST,LBRCOST,ENGINE,ENGINE_DESC,TRANSMISSION,TRANSMISSION_DESC,ENGINE_SOURCE_PLANT,ENGINE_TRACE_NBR,TRANSMISSION_SOURCE_PLANT,TRANSMISSION_TRACE_NBR,SRC_TXN_ID,SRC_VER_NBR,TRANSACTION_CNTR,MEDIA_FLAG,VIN_MODL_DESGTR,LINE_SERIES,LAST_KNOWN_DELVRY_TYPE_CD,NON_CAUSAL_PART_QTY,SALES_REGION_CODE,PROCESSED_TEXT,TAGS,PROCESSED_CORRECTION_VERBATIM,PROCESSED_CUSTOMER_VERBATIM
3HCFDDE89SH220903,13021,REPLACED STEERING WHEEL NOW OKAY,STEERING WHEEL COMING APART,2024-01-02,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1CCF,SIL,MX,Silverstone Motors,ST JOHNS,13-13992/309484,Apex Auto Sales,ST JOHNS,MI,1,488799101,6,,0,0-0310,T03.0354,US,13,FE9,FTB,130,FREG,370.03,370.03,61.46,LZ0,"DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, ALUM, CSS50V, VAR. 2",MQC,"BYT 10 SPD, 10L80, ATSS, ETRS, CPA, GEN 2",70628511,V2210281MFTX0488,287827.0,S2210121CNJX0941,2808908219,6,1,N,CF10543,1500,21.0,0,1,"['replaced', 'steering', 'wheel', 'okay']",['failure_condition'],replaced steering wheel okay,steering wheel coming apart
1HRFFEE8XSZ230636,13028,CHECKED  FOUND DTCS U0229  U1530 SET IN BCM FOUND PIP5883J VERIFI ED RPO OPTIONS TESTED PER SI  WAS INCONCLUSIVETESTEDPERWIRING SC HEMATIC  ALL CIRCUITS TESTED OK LOOKS LIKE FAULTY HEATED SW MODULE ORDERED NEW MODULE 9262312 REPLACEDHEATED SW MODULE,CUSTOMER STATES HEATED STEERING WHEEL INOP,2024-01-03,MODULE ASM-STRG WHL HT CONT,Heated Steering Wheel Module Replacement,Full-Size Trucks,Crew Cab,T1CGF,FTW,US,Elite Auto Group,FISHERS,13-14819/243038,SilverPeak Motors,GRAND RAPIDS,MN,1,557444215,5,,0,0-0310,T03.0354,US,48,FE9,FTB,2400,FREG,307.32,307.32,291.14,LZ0,"DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, ALUM, CSS50V, VAR. 2",MQC,"BYT 10 SPD, 10L80, ATSS, ETRS, CPA, GEN 2",70628511,V2210291MFTX0188,17749294.0,R2210881CNJX0287,2808841910,6,1,Y,TF10543,1500,10.0,0,1,"['checked', 'found', 'dtcs', 'u0229', 'u1530', 'set', 'bcm', 'found', 'pip5883j', 'verifi', 'ed', 'rpo', 'options', 'tested', 'per', 'si', 'inconclusivetestedperwiring', 'sc', 'hematic', 'circuits', 'tested', 'ok', 'looks', 'like', 'faulty', 'heated', 'sw', 'module', 'ordered', 'new', 'module', '9262312', 'replacedheated', 'sw', 'module']",[],checked found dtcs u0229 u1530 set bcm found pip5883j verifi ed rpo options tested per si inconclusivetestedperwiring sc hematic circuits tested ok looks like faulty heated sw module ordered new module 9262312 replacedheated sw module,customer states heated steering wheel inop
3HCFDFEL3SH241701,13021,STEERING WHEEL REPLACEMENT,CUSTOMER STATES THE LETTERING AND FINISH ON THE STEERING WHEEL IS COMING OFF Plant SIL,2024-01-04,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1CCF,SIL,MX,Westwood Wheels,MILWAUKEE,13-47099/113361,Summit Drive Auto,SLINGER,WI,1,530869027,10,,0,0-0890,T06.2375,US,13,FE9,FTB,130,FREG,445.28,445.28,63.18,L87,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",830107152,N2210821MFYX0482,287827.0,S1210822CKJX0291,2808892288,6,1,Y,CF10543,1500,10.0,0,1,"['steering', 'wheel', 'replacement']",[],steering wheel replacement,customer states lettering finish steering wheel coming plant sil
1HRFFHEL1RZ181474,13021,REPLACED STEERING MESSAGE NO LONGER DISPLAYED,CS CUSTOMER STATES THE SERVICE DRIVER ASSIST SYSTEM MESSAGE IS ON A DVISE,2024-01-05,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1CGF,FTW,US,LuxeAuto Sales,KELLOGG,11-47556/116725,Horizon Motors,LIBERTY LAKE,WA,1,990197623,0,8.0,0,0-0621,T06.2375,US,48,NE1,FUC,130,FREG,"1,439.65",435.26,136,L87,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",830107152,N2212994MGPX0790,17749294.0,R2212982CKJX0282,2808901882,8,1,N,TF10543,1500,10.0,0,1,"['replaced', 'steering', 'message', 'longer', 'displayed']",['failure_condition'],replaced steering message longer displayed,cs customer states service driver assist system message dvise
3HRFFHED7RH167541,13026,Remove and replace steering wheel wire harness,Horn and steering wheel switches are inoperable,2024-01-05,HARNESS ASM-STRG WHL HORN SW WRG,Steering Wheel Horn Switch Wiring Harness Replacement,Full-Size Trucks,Crew Cab,T1CGF,SIL,MX,Horizon Motors,OMAHA,13-05637/165732,Prestige Wheels,COLUMBUS,NE,1,686012808,0,14.0,0,0-0890,T05.3330,US,48,FE9,FTB,20,FREG,216.75,216.75,139.84,L84,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",812040194,A2212084MGSX0089,287827.0,S2212992CKJX2842,2809498122,6,1,N,TF10543,1500,16.0,0,1,"['remove', 'replace', 'steering', 'wheel', 'wire', 'harness']",[],remove replace steering wheel wire harness,horn steering wheel switches inoperable
1HRFFHEL4RZ149960,13071,ACCESSED REMOVED AND REPLACED THE DRIVERS ASSISTANCE SYSTEMS MODULE ACCESSED THE DIAGNOSTICPORTANDREPROGRAMMEDTHESYSTEMCALIBRATION USING THE MDI2 WITH A WARRANTY CLAIM PROGRAMMING CODE OF FDYZ197418154 ROAD TESTEDTHEVEHICLETOVERIFYREPAIRS THESYSTEM IS NOW OPERATING AS DESIGNED,CUST STATES DRIVERS ASSIST LIGHT COMES ON DASH SUPER CRUISELANE DEPARTURE WORKS INTERMITTENTLYWAS DIAG FORASTEERINGWHEELMODULE,2024-01-05,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1CGF,FTW,US,Apex Vehicle Sales,SMITHTOWN,13-02278/273131,UrbanEdge Auto,BAY SHORE,NY,1,117061211,2,856.0,0,0-0621,T06.2375,US,48,NE1,FUC,130,FREG,"1,488.94",435.26,150.03,L87,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",830107152,N2212914MGPX0299,17749294.0,R2212922CKJX0928,2809208122,24,1,Y,TF10543,1500,10.0,0,1,"['accessed', 'removed', 'replaced', 'drivers', 'assistance', 'systems', 'module', 'accessed', 'diagnosticportandreprogrammedthesystemcalibration', 'using', 'mdi2', 'warranty', 'claim', 'programming', 'code', 'fdyz197418154', 'road', 'testedthevehicletoverifyrepairs', 'thesystem', 'operating', 'designed']",['failure_condition'],accessed removed replaced drivers assistance systems module accessed diagnosticportandreprogrammedthesystemcalibration using mdi2 warranty claim programming code fdyz197418154 road testedthevehicletoverifyrepairs thesystem operating designed,cust states drivers assist light comes dash super cruiselane departure works intermittentlywas diag forasteeringwheelmodule
3HCFDFED4SH352945,13021,REPLACED STEERING WHEEL,Special Order Part  steering wheel heated steering wheel not working ,2024-01-05,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1CCF,SIL,MX,Diamond Drive,SAINT CLAIRSVILLE,13-13858/113450,Diamond Auto Traders,SAINT CLAIRSVILLE,OH,1,439508512,3,,0,0-0310,T05.3386,US,13,NE1,FUC,130,FREG,427.08,427.08,57.61,L84,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",812040194,A2212881MF1X2422,287827.0,S1212982CKJX2188,2808882287,4,1,N,CF10543,1500,15.0,0,1,"['replaced', 'steering', 'wheel']",['failure_condition'],replaced steering wheel,special order part steering wheel heated steering wheel working
1HRF9CED6NZ221061,13021,TECHNICIAN FOUND THE STEERING COLUMN PLASTIC TRIM WAS NOT ALIGNED PROPERLY ADJUSTED TRIM AND FOUND THE CUSTOMER CONCERN IS NOLONGER PRESENT,CUSTOMER STATES STEERING WHEEL IS MAKING A RUBBING NOISE WHEN TURING THE WHEEL LEFT AND RIGHT,2024-01-08,Unknown,Steering Wheel Spoke Cover Replacement,Full-Size Trucks,Crew Cab,T1CGF,FTW,US,Summit Auto Traders,MADISON,13-28387/166196,Legacy Car Sales,MADISON,OH,1,440572570,21,,0,0-0313,T05.3386,US,48,FE9,FTB,50,FREG,27.69,27.69,27.69,L84,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5",MQB,"BYT 10 SPD, 10L80, ATSS, CPA, GEN 2",2127157,T1220882JW9X2294,17749294.0,R2220422XKJX0272,2808998129,2,1,N,TF18543,1500,16.0,0,1,"['technician', 'found', 'steering', 'column', 'plastic', 'trim', 'aligned', 'properly', 'adjusted', 'trim', 'found', 'customer', 'concern', 'nolonger', 'present']",[],technician found steering column plastic trim aligned properly adjusted trim found customer concern nolonger present,customer states steering wheel making rubbing noise turing wheel left right
1HRFFHEL8RZ133325,13074,Steering Wheel Replacement,Customer states that they are getting a message on the dash saying driver assist message Check and advise,2024-01-09,WHEEL ASM-STRG *VERY DARK AT,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1CGF,FTW,US,TrueValue Motors,BELLEVILLE,11-40119/299131,PrimeDrive Motors,BELLEVILLE,IL,1,622263101,4,,0,0-0621,T06.2375,US,48,FE9,FTB,130,FREG,"1,147.09",435.26,146.06,L87,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",830107152,N2212294MGPX0128,17749294.0,R2212112CKJX2084,2821988724,4,1,Y,TF10543,1500,10.0,1,1,"['steering', 'wheel', 'replacement']",[],steering wheel replacement,customer states getting message dash saying driver assist message check advise
1HCFDHE86SZ274242,13023,GAINED ACCESS AND REMOVED OLD STEERING WHEEL AFTER DISCONNECTING BATTERY NEGATIVE INSTALLED NEW STEERING WHEEL APPLIED LOCTITE TOBOLT THAT RETAINS STEERING WHEEL TIGHTED BOLT RE INSTALLED AIR BAG RE INSTALLED TRIM RE CONNECTED BATTERY CHECKED FOR ANYPROTRUDING FROM STEERING WHEEL MOLDING ALL OK NOW GM AUTHORIZATION 490759800000,CS REMOVED STEERING WHEEL TO GAIN ACCESS TO BACK SIDE OF STEERING WHEEL WHERE TRIM IS THAT IS PROTRUDING AND REPLACED TRIM ANDSTILL IS PRETRUDING ISSUE IS IN STEERING WHEEL ASSEMBLY reference ro 82289  GM AUTHORIZATION 490759800000,2024-01-09,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1CCF,FTW,US,BlueSky Autos,PALMYRA,13-15377/118088,Platinum Wheels,PALMYRA,PA,1,170781909,8,,0,0-0890,T03.0354,US,13,NE1,FUB,130,FREG,476.16,435.26,63.99,LZ0,"DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, ALUM, CSS50V, VAR. 2",MQC,"BYT 10 SPD, 10L80, ATSS, ETRS, CPA, GEN 2",70628511,V2212221MFTX0298,17749294.0,R2212281CNJX0022,2809222210,6,1,N,CF10543,1500,10.0,0,1,"['gained', 'access', 'removed', 'old', 'steering', 'wheel', 'disconnecting', 'battery', 'negative', 'installed', 'new', 'steering', 'wheel', 'applied', 'loctite', 'tobolt', 'retains', 'steering', 'wheel', 'tighted', 'bolt', 'installed', 'air', 'bag', 'installed', 'trim', 'connected', 'battery', 'checked', 'anyprotruding', 'steering', 'wheel', 'molding', 'ok', 'gm', 'authorization', '490759800000']",['component'],gained access removed old steering wheel disconnecting battery negative installed new steering wheel applied loctite tobolt retains steering wheel tighted bolt installed air bag installed trim connected battery checked anyprotruding steering wheel molding ok gm authorization 490759800000,cs removed steering wheel gain access back side steering wheel trim protruding replaced trim andstill pretruding issue steering wheel assembly reference ro 82289 gm authorization 490759800000
